iter	Passed	Remaining
0	180	180305
1	181	90485
2	182	60516
3	182	45531
4	183	36556
5	184	30550
6	185	26257
7	185	23043
8	186	20557
9	187	18562
10	188	16923
11	188	15555
12	189	14399
13	190	13411
14	191	12549
15	191	11794
16	192	11132
17	193	10562
18	194	10041
19	195	9564
20	195	9133
21	196	8742
22	197	8383
23	197	8051
24	198	7750
25	199	7472
26	200	7222
27	201	6992
28	202	6767
29	202	6559
30	203	6362
31	204	6178
32	204	6005
33	205	5840
34	206	5687
35	207	5544
36	208	5418
37	209	5291
38	209	5167
39	210	5048
40	211	4936
41	211	4829
42	212	4726
43	213	4633
44	213	4539
45	214	4454
46	215	4374
47	216	4293
48	217	4216
49	217	4140
50	218	4067
51	219	3997
52	219	3930
53	220	3865
54	221	3805
55	222	3751
56	223	3693
57	223	3636
58	224	3581
59	225	3529
60	225	3478
61	226	3429
62	227	3381
63	228	3335
64	228	3289
65	229	3250
66	230	3209
67	231	3169
68	231	3128
69	232	3089
70	233	3051
71	233	3014
72	234	2978
73	235	2943
74	235	2910
75	237	2881
76	237	2850
77	238	2819
78	239	2789
79	239	2759
80	240	2732
81	241	2703
82	241	2672
83	242	2645
84	243	2618
85	244	2596
86	245	2573
87	245	2548
88	246	2524
89	247	2500
90	248	2477
91	248	2455
92	249	2433
93	250	2411
94	250	2389
95	251	2372
96	252	2354
97	253	2333
98	254	2313
99	254	2294
100	255	2275
101	256	2256
102	257	2238
103	257	2221
104	258	2206
105	260	2193
106	260	2177
107	261	2162
108	262	2147
109	263	2132
110	264	2117
111	265	2102
112	265	2087
113	267	2077
114	268	2064
115	269	2052
116	269	2037
117	270	2023
118	271	2010
119	272	1997
120	273	1984
121	274	1973
122	275	1961
123	275	1949
124	276	1936
125	277	1924
126	278	1911
127	278	1899
128	279	1888
129	280	1876
130	281	1868
131	282	1859
132	283	1849
133	284	1838
134	285	1827
135	286	1817
136	286	1807
137	287	1796
138	288	1788
139	289	1779
140	290	1770
141	291	1758
142	291	1749
143	292	1740
144	293	1730
145	294	1721
146	295	1712
147	295	1703
148	296	1696
149	297	1687
150	298	1678
151	299	1669
152	300	1661
153	300	1652
154	301	1644
155	302	1636
156	303	1629
157	304	1622
158	305	1615
159	306	1607
160	306	1597
161	307	1590
162	308	1582
163	308	1574
164	309	1567
165	310	1560
166	311	1555
167	312	1548
168	313	1540
169	314	1533
170	314	1526
171	315	1519
172	316	1512
173	317	1505
174	317	1498
175	319	1493
176	320	1488
177	320	1482
178	321	1475
179	322	1469
180	323	1463
181	324	1457
182	325	1451
183	326	1447
184	327	1443
185	328	1436
186	329	1430
187	329	1424
188	330	1419
189	331	1413
190	332	1407
191	333	1403
192	334	1398
193	335	1392
194	335	1386
195	336	1381
196	337	1376
197	338	1370
198	339	1365
199	339	1359
200	341	1356
201	342	1352
202	343	1347
203	344	1342
204	344	1337
205	345	1332
206	346	1328
207	347	1323
208	348	1319
209	349	1315
210	350	1309
211	351	1305
212	351	1300
213	352	1295
214	353	1290
215	354	1286
216	355	1282
217	356	1278
218	357	1274
219	358	1269
220	359	1265
221	359	1261
222	360	1256
223	361	1252
224	362	1248
225	363	1245
226	364	1241
227	365	1237
228	366	1232
229	366	1228
230	367	1223
231	368	1219
232	369	1215
233	369	1211
234	371	1208
235	371	1204
236	372	1199
237	373	1195
238	374	1191
239	374	1187
240	375	1183
241	376	1178
242	377	1174
243	378	1171
244	378	1167
245	379	1163
246	380	1160
247	381	1156
248	382	1152
249	382	1148
250	383	1144
251	384	1141
252	385	1138
253	386	1135
254	387	1131
255	388	1128
